年时区数,04000201,02,N(2),N(2)
日时段表数,04000202,02,N(2),N(2)
日时段数,04000203,08,N(2),N(2)
费率数,04000204,04,N(2),N(2)
公共假日数,04000205,0000,N(4),N(4)
每月第1结算日,04000B01,0100,DDhh(1),DDhh(1)
第一套时区表起始日期及日时段表号,04010000,010101060102,{MMDDNN(1)}[2],{MMDDNN(1)}[2]
第一套第1日时段表起始时间及费率号,04010001,000004080002110004130002190001210002220004220004,{hhmmNN(1)}[8],{hhmmNN(1)}[8]
第一套第2日时段表起始时间及费率号,04010002,000004080002110004130002190001210002220004220004,{hhmmNN(1)}[8],{hhmmNN(1)}[8]
第一套第3日时段表起始时间及费率号,04010003,000004080002110004130002190001210002220004220004,{hhmmNN(1)}[8],{hhmmNN(1)}[8]
第一套第4日时段表起始时间及费率号,04010004,000004080002110004130002190001210002220004220004,{hhmmNN(1)}[8],{hhmmNN(1)}[8]
第一套第5日时段表起始时间及费率号,04010005,000004080002110004130002190001210002220004220004,{hhmmNN(1)}[8],{hhmmNN(1)}[8]
第一套第6日时段表起始时间及费率号,04010006,000004080002110004130002190001210002220004220004,{hhmmNN(1)}[8],{hhmmNN(1)}[8]
第一套第7日时段表起始时间及费率号,04010007,000004080002110004130002190001210002220004220004,{hhmmNN(1)}[8],{hhmmNN(1)}[8]
第一套第8日时段表起始时间及费率号,04010008,000004080002110004130002190001210002220004220004,{hhmmNN(1)}[8],{hhmmNN(1)}[8]
